%OpenBCI Raw EEG Data From Serial Read
%Number of channels = 8
%Sample Rate = 250.0 Hz
%First Column = SampleIndex
%Last Column = Timestamp
%Other Columns = EEG data in microvolts followed by digital read data
1, -183118.007555, -177201.769018, -183191.678904, -183220.244434, -183298.140263, -176609.31368, -183298.363781, -183228.067544, 0, 1, 1, 0, 1, 02:18:14.287796
2, -183122.701421, -177209.636832, -183196.61864, -183225.072411, -183301.627135, -176575.294325, -183303.214109, -183232.940225, 0, 1, 1, 0, 1, 02:18:14.287888
3, -183124.266043, -177205.50176, -183198.697352, -183227.262882, -183299.660182, -176527.662757, -183305.315173, -183235.06364, 0, 1, 1, 0, 1, 02:18:14.287964
4, -183125.160113, -177202.372515, -183199.613774, -183228.201655, -183300.15192, -176489.195405, -183306.209243, -183235.95771, 0, 1, 1, 0, 1, 02:18:14.288036
5, -183147.713023, -177229.08285, -183221.362021, -183249.994606, -183328.113953, -176667.383512, -183327.868083, -183257.795365, 0, 1, 1, 0, 1, 02:18:14.288107
6, -183128.870503, -177209.033335, -183202.497149, -183231.107382, -183309.11497, -176654.754776, -183309.047915, -183238.885789, 0, 1, 1, 0, 1, 02:18:14.288178
7, -183133.251444, -177208.07221, -183207.079256, -183235.600082, -183313.205339, -176615.773334, -183313.562967, -183243.378489, 0, 1, 1, 0, 1, 02:18:14.288249
8, -183141.812163, -177227.697042, -183216.131713, -183244.876056, -183317.787447, -176496.057391, -183322.794237, -183252.654463, 0, 1, 1, 0, 1, 02:18:14.288318
9, -183137.878256, -177224.232522, -183212.153102, -183240.718632, -183314.36763, -176551.422662, -183318.72622, -183248.474687, 0, 1, 1, 0, 1, 02:18:14.294099
10, -183147.333043, -177232.145039, -183221.138504, -183249.771088, -183327.264586, -176627.999738, -183327.666918, -183257.571847, 0, 1, 1, 0, 1, 02:18:14.447473
11, -183149.121183, -177229.149905, -183223.150161, -183251.760394, -183327.041069, -176582.826863, -183329.700927, -183259.583504, 0, 1, 1, 0, 1, 02:18:14.447570
12, -183152.02691, -177240.973978, -183226.525274, -183255.157859, -183327.376345, -176554.149575, -183333.008985, -183262.936266, 0, 1, 1, 0, 1, 02:18:14.447646
13, -183155.044395, -177254.720301, -183229.878036, -183258.488269, -183328.33747, -176524.511161, -183336.339395, -183266.311379, 0, 1, 1, 0, 1, 02:18:14.447718
14, -183156.988997, -177249.378234, -183231.330899, -183259.874077, -183333.567778, -176520.890179, -183337.836961, -183267.808946, 0, 1, 1, 0, 1, 02:18:14.447814
15, -183157.078404, -177228.211132, -183231.107382, -183259.650559, -183335.959415, -176640.673177, -183337.546389, -183267.518373, 0, 1, 1, 0, 1, 02:18:14.447925
16, -183158.508916, -177232.592074, -183232.135562, -183260.701091, -183338.731031, -176695.792579, -183338.619273, -183268.591257, 0, 1, 1, 0, 1, 02:18:14.448004
17, -183162.308712, -177247.858315, -183235.935359, -183264.456184, -183342.463773, -176674.200794, -183342.508476, -183272.323998, 0, 1, 1, 0, 1, 02:18:14.448079
18, -183163.94039, -177253.870935, -183237.74585, -183266.221972, -183343.626063, -176638.348596, -183344.318967, -183274.179193, 0, 1, 1, 0, 1, 02:18:14.448152
19, -183185.062788, -177270.835909, -183259.583504, -183288.10433, -183360.971017, -176550.148612, -183366.044863, -183295.838034, 0, 1, 1, 0, 1, 02:18:14.448224
20, -183165.99675, -177257.581324, -183240.718632, -183269.217106, -183340.005081, -176557.03295, -183347.269398, -183277.241382, 0, 1, 1, 0, 1, 02:18:14.448295
21, -183170.422396, -177272.467586, -183245.121925, -183273.687455, -183344.162505, -176528.601531, -183351.739747, -183281.555269, 0, 1, 1, 0, 1, 02:18:14.448367
22, -183183.028779, -177278.346095, -183256.96835, -183285.600935, -183361.26159, -176621.651843, -183363.563819, -183293.379342, 0, 1, 1, 0, 1, 02:18:14.448439
23, -183195.836329, -177303.312993, -183270.312341, -183299.056685, -183371.00695, -176545.365339, -183376.885459, -183306.81274, 0, 1, 1, 0, 1, 02:18:14.448509
24, -183176.36796, -177251.546353, -183250.128716, -183278.604839, -183356.590075, -176676.435968, -183356.590075, -183286.427949, 0, 1, 1, 0, 1, 02:18:14.448581
25, -183220.356193, -177327.385822, -183294.25106, -183322.861293, -183400.22068, -176700.41939, -183400.801826, -183330.550293, 0, 1, 1, 0, 1, 02:18:14.448652
26, -183194.606983, -177291.064237, -183269.01594, -183297.648525, -183371.074005, -176606.586767, -183375.566706, -183305.538691, 0, 1, 1, 0, 1, 02:18:14.490171
27, -183215.081181, -177302.687145, -183288.886641, -183317.474522, -183395.325648, -176752.141327, -183395.415055, -183325.297633, 0, 1, 1, 0, 1, 02:18:14.490290
28, -183206.274594, -177297.054505, -183280.392978, -183309.092618, -183384.619163, -176645.076471, -183386.943744, -183316.647508, 0, 1, 1, 0, 1, 02:18:14.490382
29, -183230.079201, -177324.368337, -183303.839958, -183332.450191, -183410.480131, -176739.736109, -183410.413076, -183340.183895, 0, 1, 1, 0, 1, 02:18:14.490473
30, -183206.766332, -177299.602604, -183280.392978, -183309.204377, -183387.189613, -176731.778888, -183386.966096, -183316.714563, 0, 1, 1, 0, 1, 02:18:14.490665
31, -183229.654518, -177341.042738, -183303.907013, -183332.472543, -183406.903852, -176626.301006, -183410.457779, -183340.228598, 0, 1, 1, 0, 1, 02:18:14.490767
32, -183224.737135, -177325.44122, -183299.50372, -183328.136304, -183398.521948, -176614.208712, -183406.009782, -183336.02647, 0, 1, 1, 0, 1, 02:18:14.490852
